Round Number,Date,Location,Home Team,Away Team,Result
14,24/1/20 20:30,AT&T Center,San Antonio Spurs,Phoenix Suns,
14,24/1/20 22:30,Chase Center,Golden State Warriors,Indiana Pacers,
14,25/1/20 17:00,Vivint Smart Home Arena,Utah Jazz,Dallas Mavericks,
14,25/1/20 19:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,
14,25/1/20 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,
14,25/1/20 20:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,
14,25/1/20 20:30,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,
14,26/1/20 15:30,Pepsi Center,Denver Nuggets,Houston Rockets,
14,26/1/20 16:00,AT&T Center,San Antonio Spurs,Toronto Raptors,
14,26/1/20 18:00,State Farm Arena,Atlanta Hawks,Washington Wizards,
14,26/1/20 18:00,Madison Square Garden,New York Knicks,Brooklyn Nets,
14,26/1/20 18:00,Amway Center,Orlando Magic,LA Clippers,
14,26/1/20 18:00,FedExForum,Memphis Grizzlies,Phoenix Suns,
14,26/1/20 18:00,Smoothie King Center,New Orleans Pelicans,Boston Celtics,
14,26/1/20 21:00,Moda Center,Portland Trail Blazers,Indiana Pacers,
14,27/1/20 19:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,
14,27/1/20 19:30,AmericanAirlines Arena,Miami Heat,Orlando Magic,
14,27/1/20 20:00,United Center,Chicago Bulls,San Antonio Spurs,
14,27/1/20 20:00,Target Center,Minnesota Timberwolves,Sacramento Kings,
14,27/1/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,
14,27/1/20 21:00,Vivint Smart Home Arena,Utah Jazz,Houston Rockets,
14,28/1/20 19:00,Spectrum Center,Charlotte Hornets,New York Knicks,
14,28/1/20 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New Orleans Pelicans,
14,28/1/20 19:30,AmericanAirlines Arena,Miami Heat,Boston Celtics,
14,28/1/20 19:30,Wells Fargo Center,Philadelphia 76ers,Golden State Warriors,
14,28/1/20 19:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,
14,28/1/20 20:00,FedExForum,Memphis Grizzlies,Denver Nuggets,
14,28/1/20 20:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,
14,28/1/20 20:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,
14,28/1/20 22:00,Staples Center,Los Angeles Lakers,LA Clippers,
14,29/1/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,
14,29/1/20 19:30,Barclays Center,Brooklyn Nets,Detroit Pistons,
14,29/1/20 19:30,Madison Square Garden,New York Knicks,Memphis Grizzlies,
14,29/1/20 20:30,AT&T Center,San Antonio Spurs,Utah Jazz,
14,29/1/20 22:00,Moda Center,Portland Trail Blazers,Houston Rockets,
14,29/1/20 22:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,
15,30/1/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Toronto Raptors,
15,30/1/20 19:00,Capital One Arena,Washington Wizards,Charlotte Hornets,
15,30/1/20 19:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,
15,30/1/20 20:00,TD Garden,Boston Celtics,Golden State Warriors,
15,30/1/20 22:30,Pepsi Center,Denver Nuggets,Utah Jazz,
15,30/1/20 22:30,Staples Center,LA Clippers,Sacramento Kings,
15,31/1/20 19:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,
15,31/1/20 19:30,Barclays Center,Brooklyn Nets,Chicago Bulls,
15,31/1/20 20:00,Toyota Center,Houston Rockets,Dallas Mavericks,
15,31/1/20 20:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,
15,31/1/20 21:00,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,
15,31/1/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Oklahoma City Thunder,
15,31/1/20 22:30,Staples Center,Los Angeles Lakers,Portland Trail Blazers,
15,1/2/20 15:30,Staples Center,LA Clippers,Minnesota Timberwolves,
15,1/2/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,
15,1/2/20 19:00,Amway Center,Orlando Magic,Miami Heat,
15,1/2/20 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Golden State Warriors,
15,1/2/20 20:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
15,1/2/20 20:30,TD Garden,Boston Celtics,Philadelphia 76ers,
15,1/2/20 20:30,American Airlines Center,Dallas Mavericks,Atlanta Hawks,
15,1/2/20 21:00,AT&T Center,San Antonio Spurs,Charlotte Hornets,
15,1/2/20 22:00,Moda Center,Portland Trail Blazers,Utah Jazz,
15,1/2/20 22:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
15,2/2/20 12:30,Little Caesars Arena,Detroit Pistons,Denver Nuggets,
15,2/2/20 14:00,Toyota Center,Houston Rockets,New Orleans Pelicans,
15,2/2/20 14:00,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,
15,2/2/20 15:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,
15,3/2/20 19:00,Spectrum Center,Charlotte Hornets,Orlando Magic,
15,3/2/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
15,3/2/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Dallas Mavericks,
15,3/2/20 19:00,Capital One Arena,Washington Wizards,Golden State Warriors,
15,3/2/20 19:30,State Farm Arena,Atlanta Hawks,Boston Celtics,
15,3/2/20 19:30,Barclays Center,Brooklyn Nets,Phoenix Suns,
15,3/2/20 19:30,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers,
15,3/2/20 20:00,FedExForum,Memphis Grizzlies,Detroit Pistons,
15,3/2/20 22:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,
15,3/2/20 22:30,Staples Center,LA Clippers,San Antonio Spurs,
15,4/2/20 19:30,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,
15,4/2/20 20:00,Toyota Center,Houston Rockets,Charlotte Hornets,
15,4/2/20 22:00,Pepsi Center,Denver Nuggets,Portland Trail Blazers,
15,4/2/20 22:30,Staples Center,Los Angeles Lakers,San Antonio Spurs,
15,5/2/20 19:00,Little Caesars Arena,Detroit Pistons,Phoenix Suns,
15,5/2/20 19:30,TD Garden,Boston Celtics,Orlando Magic,
15,5/2/20 19:30,Barclays Center,Brooklyn Nets,Golden State Warriors,
15,5/2/20 19:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,
15,5/2/20 20:00,Target Center,Minnesota Timberwolves,Atlanta Hawks,
15,5/2/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Cleveland Cavaliers,
